code_unique,code,name,uom,uom_raw,price,category
B-001,B-001,Batu Kali,RET,Ret,600000.0,MATERIAL
B-002,B-002,Pasir (Cor/Lamasi/Masamba),RET,Ret,600000.0,MATERIAL
B-003,B-003,Timbunan + Hampar,RET,Ret,250000.0,MATERIAL
B-004,B-004,Batu Bata,PCS,Bh,550.0,MATERIAL
B-005,B-005,Semen 40 Kg,ZAK,Zak,58000.0,MATERIAL
B-006,B-006,A Plus,ZAK,Zak,70000.0,MATERIAL
B-007,B-007,Besi Ø8 Full (Tulangan),BTG,Btg,58000.0,MATERIAL
B-008,B-008,Besi Ø6 Full (Beugel),BTG,Btg,34500.0,MATERIAL
B-009,B-009,Kawat Pengikat,ROL,Roll,400000.0,MATERIAL
B-010,B-010,Papan Mal,LBR,Lmbr,41667.0,MATERIAL
B-011,B-011,Balok 5/3 4m,BTG,Btg,23000.0,MATERIAL
B-012,B-012,Balok 5/5 4m,BTG,Btg,35000.0,MATERIAL
B-013,B-013,Balok 5/10 4m,BTG,Btg,60000.0,MATERIAL
B-014,B-014,Tripleks Mal,LBR,Lmbr,93000.0,MATERIAL
B-015,B-015,"Kusen Pintu, Ventilasi & Jendela",SET,Set,2500000.0,MATERIAL
B-016,B-016,Daun Pintu Dan Jendela,SET,Set,2650000.0,MATERIAL
B-017,B-017,Pintu Sliding Kamar Mandi,SET,Set,700000.0,MATERIAL
B-018,B-018,Kaca Polos 5 cm,LS,Ls,200000.0,MATERIAL
B-019,B-019,"Engsel Pintu 4""",BOX,Box,19000.0,MATERIAL
B-020,B-020,"Engsel Jendela 3""",BOX,Box,15000.0,MATERIAL
B-021,B-021,Cat Tembok,LS,Ls,3400000.0,MATERIAL
B-022,B-022,Cat Kayu 5 Ltr,PCS,Bh,64000.0,MATERIAL
B-023,B-023,Thinner,LS,Ls,30000.0,MATERIAL
B-024,B-024,"Atap Spandek Hitam 0,3",M,m',43500.0,MATERIAL
B-025,B-025,"Atap GMPM 0,35",LBR,Lmbr,47000.0,MATERIAL
B-026,B-026,Nok Atap GMPM P = 85 cm,LBR,Lmbr,24000.0,MATERIAL
B-027,B-027,Listplank T = 20 cm,LBR,Lmbr,48000.0,MATERIAL
B-028,B-028,Kanal C 75 x 65 x 6m,BTG,Btg,91000.0,MATERIAL
B-029,B-029,Reng 32 x 45 x 6m,BTG,Btg,44000.0,MATERIAL
B-030,B-030,"Gypsum 1,24 x 2,40",LBR,Lmbr,58000.0,MATERIAL
B-031,B-031,Isolasi Gypsum,ROL,Roll,7000.0,MATERIAL
B-032,B-032,Hollow 2/4 x 6m,BTG,Btg,25000.0,MATERIAL
B-033,B-033,Baut Dril Atap,BOX,Dos,178000.0,MATERIAL
B-034,B-034,Baut Dril Rangka Baja,BOX,Dos,176000.0,MATERIAL
B-035,B-035,"Skrup Gipsum 2,5 cm",BOX,Dos,61000.0,MATERIAL
B-036,B-036,Keramik Lantai 60 x 60,BOX,Dos,145000.0,MATERIAL
B-037,B-037,Keramik Lantai WC 60 x 60,BOX,Dos,180000.0,MATERIAL
B-038,B-038,Keramik Dinding WC 30 x 60,BOX,Dos,131000.0,MATERIAL
B-039,B-039,Klosed Duduk,PCS,Bh,1100000.0,MATERIAL
B-040,B-040,Klosed Jongkok,PCS,Bh,350000.0,MATERIAL
B-041,B-041,Gorong-gorong + Penutup,SET,Set,750000.0,MATERIAL
B-042,B-042,"Kabel Tunggal 2,5 x 100 m",LS,Ls,430000.0,MATERIAL
B-043,B-043,"Kabel Tunggal 1,5 x 100 m",LS,Ls,280000.0,MATERIAL
B-044,B-044,"Kabel 2x1,5",M,M',15000.0,MATERIAL
B-045,B-045,Pipa Listrik PVC 5/8 4 m,BTG,Btg,12000.0,MATERIAL
B-046,B-046,FPvc 5/8 L,PCS,Bh,1000.0,MATERIAL
B-047,B-047,Tdos Putih,PCS,Bh,2500.0,MATERIAL
B-048,B-048,Isolasi Listrik,PCS,Bh,6000.0,MATERIAL
B-049,B-049,Masko Sadel 17mm,BOX,Dos,,MATERIAL
B-050,B-050,Masko Sadel 10mm,BOX,Dos,,MATERIAL
B-051,B-051,"Pipa PVC 4"" D 4m",BTG,Btg,115000.0,MATERIAL
B-052,B-052,"Pipa PVC 3"" D 4m",BTG,Btg,79000.0,MATERIAL
B-053,B-053,"Pipa PVC 2,5"" D 4m",BTG,Btg,66000.0,MATERIAL
B-054,B-054,"Pipa PVC AW ½""",BTG,Btg,21000.0,MATERIAL
B-055,B-055,"FPvc 4"" Lurus",PCS,bh,15000.0,MATERIAL
B-056,B-056,"FPvc 4"" L",PCS,bh,15000.0,MATERIAL
B-057,B-057,"FPvc 4"" T",PCS,bh,25000.0,MATERIAL
B-058,B-058,"FPvc 4"" T Kombinasi",PCS,bh,45900.0,MATERIAL
B-059,B-059,"FPvc 4"" Penutup",PCS,bh,15000.0,MATERIAL
B-060,B-060,"FPvc 3"" 45⁰",PCS,bh,19600.0,MATERIAL
B-061,B-061,"FPvc 3"" L",PCS,bh,10000.0,MATERIAL
B-062,B-062,"FPvc 3"" Tee Y",PCS,bh,41200.0,MATERIAL
B-063,B-063,"FPvc 3"" Penutup SepticTank",PCS,bh,13800.0,MATERIAL
B-064,B-064,"FPvc 2,5"" Sok Kombinasi",PCS,bh,21400.0,MATERIAL
B-065,B-065,"FPvc 2,5"" L",PCS,bh,5500.0,MATERIAL
B-066,B-066,"FPvc 2,5"" Tee Y",PCS,bh,30000.0,MATERIAL
B-067,B-067,"FPvc 2,5"" Penutup",PCS,bh,6000.0,MATERIAL
B-068,B-068,"FPvc ½"" Lurus",PCS,bh,1500.0,MATERIAL
B-069,B-069,"FPvc ½"" Sock Drat Dalam",PCS,bh,2700.0,MATERIAL
B-069A,B-069,"FPvc ½"" L",PCS,bh,2000.0,MATERIAL
B-070,B-070,"FPvc ½"" T",PCS,bh,2500.0,MATERIAL
B-071,B-071,"FPvc ½"" Keran",PCS,bh,3000.0,MATERIAL
B-072,B-072,"FPvc ½"" Penutup",PCS,bh,1000.0,MATERIAL
B-073,B-073,Isolasi Pipa,PCS,bh,5500.0,MATERIAL
B-074,B-074,Lem Pipa,PCS,bh,20000.0,MATERIAL
B-075,B-075,Paku Beton 5 cm,BOX,Dos,22000.0,MATERIAL
B-076,B-076,Paku Beton 10 cm,BOX,Dos,11000.0,MATERIAL
B-077,B-077,Paku 3,KG,Kg,24500.0,MATERIAL
B-078,B-078,Paku 5,KG,Kg,22500.0,MATERIAL
B-079,B-079,Paku 7,KG,Kg,22500.0,MATERIAL
B-080,B-080,Paku 10,KG,Kg,22500.0,MATERIAL
